category_key,product_category_name,product_category_name_english
1,moveis_decoracao,furniture_decor
2,papelaria,stationery
3,dvds_blu_ray,dvds_blu_ray
4,sinalizacao_e_seguranca,signaling_and_security
5,casa_conforto,home_confort
6,construcao_ferramentas_iluminacao,construction_tools_lights
7,consoles_games,consoles_games
8,fashion_calcados,fashion_shoes
9,construcao_ferramentas_seguranca,construction_tools_safety
10,cool_stuff,cool_stuff
11,tablets_impressao_imagem,tablets_printing_image
12,perfumaria,perfumery
13,moveis_escritorio,office_furniture
14,musica,music
15,telefonia,telephony
16,ferramentas_jardim,garden_tools
17,climatizacao,air_conditioning
18,bebes,baby
19,artes_e_artesanato,arts_and_craftmanship
20,construcao_ferramentas_jardim,costruction_tools_garden
21,artes,art
22,bebidas,drinks
23,pet_shop,pet_shop
24,fashion_roupa_infanto_juvenil,fashion_childrens_clothes
25,flores,flowers
26,cds_dvds_musicais,cds_dvds_musicals
27,audio,audio
28,utilidades_domesticas,housewares
29,fashion_bolsas_e_acessorios,fashion_bags_accessories
30,eletrodomesticos,home_appliances
31,fashion_underwear_e_moda_praia,fashion_underwear_beach
32,casa_construcao,home_construction
33,artigos_de_natal,christmas_supplies
34,beleza_saude,health_beauty
35,casa_conforto_2,home_comfort_2
36,construcao_ferramentas_ferramentas,costruction_tools_tools
37,automotivo,auto
38,livros_interesse_geral,books_general_interest
39,alimentos,food
40,moveis_cozinha_area_de_servico_jantar_e_jardim,kitchen_dining_laundry_garden_furniture
41,cama_mesa_banho,bed_bath_table
42,fashion_roupa_feminina,fashio_female_clothing
43,livros_importados,books_imported
44,informatica_acessorios,computers_accessories
45,construcao_ferramentas_construcao,construction_tools_construction
46,seguros_e_servicos,security_and_services
47,cine_foto,cine_photo
48,livros_tecnicos,books_technical
49,eletroportateis,small_appliances
50,brinquedos,toys
51,market_place,market_place
52,fashion_roupa_masculina,fashion_male_clothing
53,moveis_sala,furniture_living_room
54,telefonia_fixa,fixed_telephony
55,malas_acessorios,luggage_accessories
56,portateis_casa_forno_e_cafe,small_appliances_home_oven_and_coffee
57,la_cuisine,la_cuisine
58,esporte_lazer,sports_leisure
59,fraldas_higiene,diapers_and_hygiene
60,moveis_quarto,furniture_bedroom
61,pcs,computers
62,eletronicos,electronics
63,industria_comercio_e_negocios,industry_commerce_and_business
64,instrumentos_musicais,musical_instruments
65,moveis_colchao_e_estofado,furniture_mattress_and_upholstery
66,fashion_esporte,fashion_sport
67,eletrodomesticos_2,home_appliances_2
68,relogios_presentes,watches_gifts
69,alimentos_bebidas,food_drink
70,agro_industria_e_comercio,agro_industry_and_commerce
71,artigos_de_festas,party_supplies
72,unknown,unknown
